id,comment,is_representative
145,生成 AI のネットに上がっている画像全てを学習元としてイラストなどを生成するシステムは十分著作権の侵害にあたるかと思いますし、特定の誰かの絵を読み込ませてその画風でイラスト生成をする事例が沢山上がっています。やられた方はもちろん不愉快ですし心的金銭的被害を被る事になります。また生成 AI の是非はともかくとして、悪用する人間が多すぎる為、生成 AI を推進していく行為には反対です。あまり生成 AI に明るくない人たちが著作権も何も考えずフランクに使ってしまえる現状はとても健全とは言えませんし、脅威でしかありません。また生成 AI に肯定的なのが既に有名な作家であったり昔名を馳せた絵描きなどある程度の年齢層の方に多いように見受けられます、生成 AI に対する不勉強もあるとは思いますが、彼らは良いかもしれませんが若いまだこれからの創作者達の芽を摘む原因に生成 AIはなり得ると考えます。あのようにプロンプトを書き込み簡単に複雑な絵を出力出来る、安易に著作権侵害をする者がいる現状を見て心を折る人たちは現在でもいる状況です。海外からの信頼も無くす行為だと思われます。生成 AI を容認している国だと思われれば、その国の作家たちも著作権に関して大変無頓着であり、仕事の依頼にも生成 AI を使われかねない、使われている可能性を考えられ海外からの仕事も激減する可能性も大いにあるかと思います。クリエイターを大事にしている国であればあるほど、生成 AI を容認する国を警戒するでしょう、そのような事になっては日本のクリエイターの活躍の場が狭まり、不名誉なレッテルを貼られ、やはり筆を折らざるを得ない状況に追い込まれてしまいます。それは日本の経済的な損失でもあると考えます。が AI を上手に使っていくなどと生成 AI を前向きに捉え推進していく姿勢を拝見しましたが、やはりお年を召された方ほどそのような傾向にあるかと見受けられます、若い世代、現在現役の作家、目指す人それを支える人達の意見にきちんと耳を傾けて頂きたい限りです。日本のクリエイター達の信用を落とし、悪用する者たちが少しでも減って行くよう生成 AIの規制をいち早くお願いしたい所存です。,True
21,イラストや写真などはお金と時間をかけて作られた「所有者の財産」であり、本来お金を払って作成していただいたり、ライセンスを購入して使用するものです。生成 AI だから無断無償で学習、販売して OK とは本来ならないです。法律がまだ整備されていないだけです。どうかご協力をお願いします。,False
39,生成 AI の出力物が既存の権利物に酷似している場合、著作権法により原作者の権利は保持されるべきだと考える。しかし、生成 AI が動作するには元となる学習データが膨大に必要であり、その元データとなり得るイラストは現状ほぼ全てが著作権法により保護されている。もしもこのままイラストレーターの意見のみが大きく反映されるようであれば、生成 AI 技術は完全に停滞すると考えられる。よって、個人・非営利・研究利用においての制限は撤廃し、営利利用や一般の開放されたコミュニティへの投稿などには規制を掛けるべきだと考える。,False
95,自身の作品、写真等を使わないで欲しいと拒否する権利よりも機械学習に無断使用する権利が優先されることはおかしい。オプトインのみの生成 AI をつくる方向で、人の権利を守って技術が発展することを望む。,False
96,生成・利用段階についての考え方(28～34 頁)著作権侵害の有無についてそもそも AI の生成に利用される画像やデータについては、多くの製作者がその著作権を放棄しておらず、そのような学習に利用されるべく作成したものではないことは念頭に置いてもらいたい。また、製作者が製作した内容についても正確に選り分けることが出来ないため、児童ポルノなどの違法性を排除しきれない問題がある。これは著作権と別に忌避される問題点であると言える。クリエイターの仕事を奪う以外にも、上記のような出典が不明な画像やデータを利用するのだから、AI を利用し生成を行った側の責任問題も問われるのではないか。手軽で簡単に理想的なものが産み出せる一方、長い目で見たとき国内外問わず信用を失うことになるのは避けた方がいいのではないか。以上の事から私は AI による生成、利用を許容することはできない。,False
130,自分では作り出せない人にとってはとても便利なものであると感じます。一方で生成 AIを使った著作権侵害や人のものを使ってお金儲けをする人が散見される現状だと思います。このままでは批判的な意見が多く生成 AI に対する偏見を持つ人が増えるのではと懸念しています。人のイラストを AI に読み込ませて作り出した絵を自身の作品と言い張る、売買するなど見られておりそれはどうかなと思うところです。著作物に対する権利は守られるべきものであって欲しいです。よろしくお願いします。,False
200,いかなる理由であっても、生成 AI で生成した画像や動画に対して著作権の付与は行われるべきではありません。プロンプトの複雑さ等を根拠に権利を付与する事も認められるべきではありません。AIに使用されるデータセット元となった画像の作者への利益の還元は行われなければなりません。もしも AI による生成画像や生成動画に著作権が付与されてしまった場合、デザインのアイデアを作っても、大きな資本を保有する企業や個人がデザインを搾取する事が可能となってしまいます。資本による格差が理不尽に拡大してしまう可能性が高いと考えます。また、利用しているデータの公表は必須です。児童ポルノや殺人画像などの違法画像や、実在する個人の個人情報を特定可能な画像データが使用されている可能性がある場合、AI を使用した個人または企業等が、犯罪被害者本人あるいはその親族から法的責任を問われる可能性も否定出来ません。データの健全性と市場の公平性を保つには、生成 AI が生成した画像や動画に著作権を付与しない事が重要であると考えます。,False
217,画像生成 AI について、現状出ている画像生成 AI に対しては著作権を認めるべきではないと考えます。今後出てくるかもしれない、ゲーム会社やアニメーションスタジオなど、自社の素材のみで作成した AI は著作権を認めるべきと考えます。学習データセットに使われた画像の著作者と契約、もしくは著作権を保持しているかしていないかに焦点を当てるべきと考えます。現状出ている画像生成 AI については、無断で著作物を学習できるようになっており、著作権を与えると以下のようなことが起こりえると考えます。・個人の画家を学習させた学習モデルを使用し、パトロンサイト等で制作販売→すでに pixivFANBOX などでそういった事が多数発生しましたが、作家性や品位を貶めるような作品が AI によって大量に作成されました。著作権を認めるということは更にそういった事案が発生することと考えます。・SNS や写真集などを学習させディープフェイクなどを作成。→海外でも日本でもすでに被害が出ており、著作権を与えてしまうと販売されてしまい、2 次被害 3 次被害などが容易に想像できます。→芸能人やインフルエンサーに関わらず SNS に投稿した自撮りなどを学習し、詐欺など犯罪や、アダルトなものとして販売されるなど被害が出るものと思います。学習データとしては人が混ざり、分からなくなっているかもしれませんが、自分の家族などのデータがいつの間にか使われ、販売されているというのは怖いことではないでしょうか？最後に現状の画像生成 AI 技術については、クリエイターに対するリスペクト、契約や交渉が足りない考えます。普通の会社であれば、他社の成果を研究する場合は、交渉や契約などがあってしかるべきではないでしょうか？そういった事をめんどくさがり成果だけを学習販売し利益を上げるというのは、人間社会として魅力的とは思えません。,False
306,生成 AI に関してですがデータセットの学習元の絵や写真文章など製作者の財産であるものを無断無償で使用され製作者に拒否権が無い上に無断利用された学習元の著作物と非常に近しいものが生成され販売されるなど学習元の製作者に不利益を与えている状況はおかしいと感じる。旧 Twitter 上で集中学習を行い元絵の作者への嫌がらせを行う生成 AI ユーザーがおり元作者が警察や弁護士等に相談しなければならない事態になっており無断利用される側の精神的金銭的な負担となっている。現状データセット内に権利上法律上問題のあるものが含まれていても生成ソフトウェアを通せばロンダリングできてしまうことも問題。利用する側として考えるとデータセット自体がブラックボックスで何を学習しているか明かされていないものはセット内に違法素材などが入っていないか確認できないので使用することには躊躇する無断無償での学習は研究目的としてはある程度認められるべきではあるだろうがあくまでも無断利用が許されるのは研究中であって一般に公開するものは無償であったとしても他者の権利を無断利用している状態のものは許されるべきではないと考える。,False
315,AI と著作権に関する考え方について(素案)P.103.生成 AI の技術的な背景について(1)生成 AI について昨今では生成 AI ソフトウェア技術があがり人間が手描き、デジタルで描いたクオリティに変わらず画像生成が可能になった。しかし、絵を描く側の人間や技術者でないと違和や破綻は気付く事が出来ない。一般人が生成 AI で生み出した作品を「普遍」と感じれる人が増えれば、日本文化は AI が前提となる。また AI によって偽物の浮世絵日本画や偽物の古文書など日本の歴史を覆すような作品が出れば、専門家がいないと偽物と判別出来ない。AI が導き出した回答に対して、これは嘘、矛盾、不可能であると判断できるのは識者や専門家である。AI 技師を扱えるのは専攻した学者、技術者や国家資格を持った専門家のみを指定した方が良い。運転免許のように資格制にする。使用適任者を選ぶ必要がある。物事の正解や回答や選択肢を AI に頼る事によって、国民の思考力、学力、読解力の低下が発生する。AI に触れる年齢が早い程、自分で思考、試行錯誤に挑戦、繰り返し行動して経験する能力が身に付かず、人間としての能力が低下し何をするにも AI に頼るようになり、恒常的な国力低下に繋がる。言語もろくに身につかないまま、簡単に外国人からの指示に従ってしまい、日本人の存在や国の資産や文化を失う事になる。AI とうまく付き合いながら、国民の思考力、学力、読解力など根本的な国力を増強するべきである。,False
