id,comment
2,・４ページの３行目「以下」は「以下、」のほうがよい。２ページの本文の最下行の３行上の例と同様に。・２ページの１２行目「当たって」と、４ページの９行目「あたって」とは、どちらかに字句を統一したほうがよい。
13,海賊版サイトなど違法な学習元からの学習行為は違法にするべき。海賊版サイトなどの違法サイトや違法データからの学習を許容すると、これらが氾濫するおそれがある。またそれらの判別のためにも AI 制作者は学習元の公開を必須にするべき。
18,全面的に支持いたします
81,「A 事業者ガイドライン案」別添 1.第 1 部関連/P13/20 行目「Al によるリスク」
119,インターネット上には作者や出版社等の著作物を扱える立場の方々が投稿してる以外にも格言を見せたり反論する為に漫画の一部を投稿してる有象無象に人らがいるが前者は何かしらの設定を設ければ学習しないようにできると思うが後者は有象無象の人が投稿するので学習しないようにするのは難しいと思うがそのへんを踏まえて議論してほしい。
125,Web 上から集められた研究用の大元の何十億枚の中の学習データは、クリエイターが機関に申し出すれば簡単に削除ができるような仕組みが欲しい。LoRA など学習を引き出すデータセットについて、音楽業界の JASRAC のような権利を守るための団体がクリエイターサイドにも必要。音楽の JASRAC の仕組みは音楽をリリースして作品としての形を固定した時から著作権が発生するが、AI の登場に伴い、意匠性を担保する新しい概念でのクリエイターの保護や恩恵の循環の仕組みが必須。
133,「非享受目的について」生成ＡＩの生成物が学習元の享受目的がないとするのならば、学習段階のタグにおいて『作品名』『キャラクター名』『作者名』『企業名』等は必要でないのだからこれらのタグが使用されているものプロンプトとして使用できるものについては享受目的であるとみてよいと思います。ようは、探偵の画像を出すために『探偵』や『鴨撃ち帽』は使っても、『アーサー・コナン・ドイル』や『シャーロック・ホームズ』は必要ないはずです。３．生成 AI の技術的な背景について（１）生成 AI についてウ 生成 AI が生成物を生成する機序の概略生成 AI では、入力された指示を情報解析し得られた結果と、その生成 AI が学習したパターンやルール、傾向等に基づき、生成物を生成することとなる。この際の生成については、通常、学習データの切り貼りではないとされる。上記において画像生成ＡＩにおいて『切り貼りではないとされる』という表現は正しくはありますが正確ではありません。まず前提として、学習データは元のデータから劣化や欠落があるものの凡その復元ができるノイズデータです。プロンプトによる指定に合わせて、指定した条件に合ういくつかのノイズデータを呼び出し、そこから部分的な要素（背景、物体、色、等）を抜き出して切り貼りします。切り貼りしたうえで、さらに部分的に類似するノイズデータを複数重ねて中央値を取ります。ここにさらにランダムなノイズデータを重ねることでブレを出すことで似ない様に処理をしている物もありますが、切り貼りと重ね合わせ（合成）であることに違いはありません。新規で生成しているわけではないです。過学習という言葉で学習元が再現される理由がこれで、抽選されたノイズデータの多数が元が同じの学習元の別ノイズデータとなったとき中央値が元データに寄ることで出力されます。Ａという学習元があり、これを学習するとＡ１というノイズデータができ、Ａを複数回学習（Ａの解像度違い、トリミング加工後等も含む）させるたびにＡ２、Ａ３とノイズデータが蓄積されます。ここで、Ａという学習元にフィットしたプロンプトを入力したとき、Ａ１の背景、Ａ２の物体、Ａ３の色…と抽選されてしまうわけです。完璧にフィットするプロンプトというのはまず存在せず、乱数で関係ないノイズデータを引っ張ってくることもあるので、確率の問題になりますが。５．各論点について（３）生成物の著作物性についてイ 生成 AI に対する指示の具体性と AI 生成物の著作物性との関係について指示・入力（プロンプト等）の分量・内容において創作的寄与があるとは到底思えません。文章はコピーペーストでいくらでも増やして使いまわすことができます。そもそも、生成ＡＩはツールであり、ランダムでふわっとしたイメージを出力するシステムです。具体的なイメージがあるなら無理をして使うツールではなく、料理をするのに包丁ではなく鋏を使ったからといって、鋏を巧みに使う技術自体は評価されるべきではりますが、完成品の料理そのものの評価は調理過程ではなく見た目と味です。それこそ、今は i2i という技術があるのですから、下手でも手書きをしてＡＩで変換するとか（この時もＡＩ任せの量が多いと問題ですが）手書きでなくても加工可の素材を切り貼りして形を作ればプロンプト任せのランダム生成でイメージ通りの者が出るまで待つより確実なはずです。それをしない、という事は具体的なイメージがなく、出てきたものに後付けでイメージ通りと言っているだけに思えます。
162,去年から個人事業主としてイラストレーターを始めた者です。正直他国のクリエイターなどは A I について良い印象がないです、なぜか先人たちが凄まじい時間と知恵を持って作り上げた物を無断で使用し、あたかも自分で作り上げたかの様にしているから。ゲームで例えるならチートの mod を使いそれを自分の能力だという様な物です。Ai は新しいものは作れない、既存の作品を、どこかで作られた作品をオマージュしている様なものだ。これからクリエイターを目指す人は何を目標にしたら良い、作った作品は無断で搾取され、金儲けの材料にされる。その様な世の中になってしまったら日本のアニメ、漫画の文化が廃れ先進国唯一取り柄のない国になり果ててしまう。国のトップは頭が弱い、若い人の方がよほど柔軟な発想をしている。人が嫌だと言っている行為をしていることでそもそも素行がしれている。早めの法整備を行わないと手遅れになってしまう。Ai 技術は良いものだ、ただ生成 AI は必ず争いが起きてしまう。生成 AI を行っている人から、イラストレーターに「殺害予告」がでた。その様なことを知らないことがもはや罪になってしまう。絶対に放っておいていい問題ではない。法整備を進め、生成 AI を作る会社に正しき処置を。
169,もしもこれを読んでいるあなたが、半年間かけて作った卒業論文を盗まれ、１分も経たずに似た作品を作られたらどんなお気持ちですか？自分の文章を模していると分かるのに、決定的な証拠がないからと自身が蹴落とされたらどう思いますか？生成ＡＩがやっているのは窃盗です。これ以上人の努力を汚す事は辞めてください。以下の項目を提案します。・生成ＡＩで生み出されたモノには必ずウォーターマークをつけてほしい。・生成ＡＩでの作品の販売、利益化は一切禁止。・生成ＡＩで作ったにも関わらず表記がない場合は、詐欺と同等なので罪を与えるべき。クリエイターの命を奪わないで。
170,(1)エ(オ)海賊版利用について「盗品倉庫からもってきたものを使ってもの創ってオーケー、盗品倉庫さまさまです」って、頭大丈夫か？治安悪すぎ。何のための統治権力。こういう明らかにおかしい行為が許されるかもしれないって状況になってる時点ではじめから何かが根本的に間違ってるんだよ。窃盗を許すな。
