index,id1,id2,text1,text2,distance
0,534,937,無断データで、データ元と競合する生成 AI 開発するのは不当な権利の侵害行為に該当します。,無断データで、データ元と競合する生成 AI 開発するのは不当な権利の侵害行為に該当する,0.0030734625603742183
1,549,1000,無断に作成したデータで、データ元と競合する生成 AI 開発するのは不当な権利の侵害行為に該当する。,Cluster #0,0.011307041252117567
2,601,724,声優の声を無断で 449 キャラ、36 万音声ファイル、合計 581 時間、343GB ゲームからぶっこぬき、ばら撒いて声優のコピーを作ろうとしている動きがあるが、そういう無断データで、データ元と競合する生成 AI 開発するのは不当な権利の侵害行為に該当する,声優の声を無断で 449 キャラ、36 万音声ファイル、合計 581 時間、343GB ゲームから取得し、ばら撒いて声優のコピーを作ろうとしている動きがある無断に取得したデータで、データ元と競合する生成 AI 開発するのは不当な権利の侵害行為に該当する,0.014226729919916692
3,299,318,デジタルイラストを描く者として、まず AI に無断で学習させることに問題がないのか多くの方に考えて頂きたいと思っています。作風の模倣は人であれ AI であれ問題があるのはわかりやすいと思いますが、学習とはいえ無断使用であり野放しにしておいていいものなのか是非多くの方に考えて頂きたいです。自分の成果物が無断で使用されることがわかっていたら、だれも本気で作ろうと思わなくなると思います。,デジタルイラストを描く者として、まず AI に無断で学習させることに問題がないのか多くの方に考えて頂きたいと思っています。作風の模倣は人であれ AI であれ問題があるのはわかりやすいと思いますが、学習とはいえ無断使用であり野放しにしておいていいものなのか是非多くの方に考えて頂きたいです。自分の成果物が無断で使用されることがわかっていたら、だれも本気で作ろうと思わなくなると思います。例え完全には抑制できないとしても、無断学習は問題があると定められるだけでも私は創作意欲を失わずに活動していける助けになると思っています。,0.017619573015944634
4,583,652,このままいけば自分達が投稿した自撮り写真が悪意ある生成 AI 利用者により無断で学習され性的描写やグロや残酷描写に使用されてそれを金銭等の強要・強請のネタにされ、更に上記の描写の生成 AI イラストによって身も蓋も無い誹謗中傷や批判の嵐のネタにされプライバシーの侵害や名誉毀損の被害に遭う可能性が大きくなると思います。したがってこの素案に反対します。,自分達が投稿した自撮り写真が悪意ある生成 AI 利用者により無断で学習され性的描写やグロや残酷描写に使用されてそれを金銭等の強要・強請のネタにされ、更に上記の描写の生成 AI イラストによって身も蓋も無い誹謗中傷や批判の嵐のネタにされプライバシーの侵害や名誉毀損の被害に遭う可能性が大きくなると思います。,0.019208788254040265
5,288,742,データ元と競合する生成 AI 開発するのは不当な権利の侵害行為に該当する,無断データでデータ元と競合する生成 AI 開発するのは不当な権利の侵害行為に該当すると思います,0.025949843687149032
6,278,286,現在政府が推進している生成 AI のデータセットには、世界中のアーティストの作品が無断で取り込まれており、作品が取り込まれている作家たちのリストも実際にインターネット上に公開されている。その上で正当な被害を訴えただけの被害者たちは、なぜか蔑称としての名前で呼ばれている。人のものを無断で盗んでいる犯罪者も同然の者達から、なぜか犯罪者呼ばわりされているのだ。また、単に犯罪者呼ばわりされているだけならまだマシで、実際は被害者たちのもとに生成 AI 推進派たちから住所を特定してやる、メンタルを破壊して筆を折ってやるなどの脅迫や殺害予告が届く、被害者の絵柄を用いて自殺教唆を仄めかす画像を生成するなどの度の過ぎた嫌がらせは日常茶飯事だ。生成 AI 推進派たちが言うには「日本の先端技術の向上に貢献するためならお前らの苦しみなど知った事か」とのことだが、実際はその先端技術向上すらどうでもよく、単に自分たちが他の者に力を誇示するための道具を努力せずに手に入れたいだけにすぎないのだ。「絵が描けない人にも配慮しろ」「絵師の特権意識」などと支離滅裂な発言をしている人物たちが、友達と遊んだりゲームをしたりのんびり休憩したり惰眠を貪ったりすることに人生を費やしている間にも、アーティストたちはずっと作品制作に時間を注いできたのだ。つまりアーティストにとって自分の絵は自分の人生そのものである。絵を描くために何の努力もしていない人間が絵を描けないのは至極当然の事であるのに、自身の努力不足を認められず、努力もせず、それでも栄光は欲しい、だから努力をした人間から成果だけ奪えば自分も栄光が掴めるはずだ、などちゃんちゃらおかしなことである。政府が推し進めている生成 AI 事業の政策によって我々アーティストが受けたのは決して恩恵ではなく、殺人予告や名誉棄損など多大なる被害のみだ。それでいて政府は我々アーティストを苦しめるだけ苦しめておいて、アーティストたちが今までに作り上げた恩恵だけは掠め取ろうとクールジャパン戦略など訳の分からない事をほざいている。そのようなことがまかり通るはずがない。しかし、これほどまでに矛盾した非人道的でおかしな状況にも関わらず、生成 AI 推進派は「絵師の感情論」などと言って問題に向き合おうとしない。では、児童ポルノ問題に対してはどう言及するつもりなのだろうか。現在政府が推進している生成 AI のデータセットには大量の児童ポルノが含まれている。この事実はある程度生成 AI の情報を追っている者からすれば周知の事実だが、前回のパブリックコメントではデータセット内に児童ポルノが含まれている点に言及している箇所だけ綺麗に削り取られているという SNS での投稿があった。つまり政府も、己が推進している生成 AI 事業が大量の児童ポルノで成り立っている事実を知った上であえて黙認し、その事実をもみ消していることになる。言うまでもないがこれは「絵師の感情論」でもなんでもなく、立派な犯罪である。日本でも近年児童への性加害が問題視されているが、海外ではそんなものは比にならないほどに厳しく規制されている。そのような犯罪の事実を政府がもみ消しておいて、海外向けにクールジャパン戦略などを進めて成功すると本気で政府が思っているのなら、それは大きな誤りであると言わざるを得ない。,【項目名】４．関係者からの様々な懸念の声について現在政府が推進している生成 AI のデータセットには、世界中のアーティストの作品が無断で取り込まれており、作品が取り込まれている作家たちのリストも実際にインターネット上に公開されている。その上で正当な被害を訴えただけの被害者たちは、なぜか蔑称としての名前で呼ばれている。人のものを無断で盗んでいる犯罪者も同然の者達から、なぜか犯罪者呼ばわりされているのだ。また、単に犯罪者呼ばわりされているだけならまだマシで、実際は被害者たちのもとに生成 AI 推進派たちから住所を特定してやる、メンタルを破壊して筆を折ってやるなどの脅迫や殺害予告が届く、被害者の絵柄を用いて自殺教唆を仄めかす画像を生成するなどの度の過ぎた嫌がらせは日常茶飯事だ。生成 AI 推進派たちが言うには「日本の先端技術の向上に貢献するためならお前らの苦しみなど知った事か」とのことだが、実際はその先端技術向上すらどうでもよく、単に自分たちが他の者に力を誇示するための道具を努力せずに手に入れたいだけにすぎないのだ。「絵が描けない人にも配慮しろ」「絵師の特権意識」などと支離滅裂な発言をしている人物たちが、友達と遊んだりゲームをしたりのんびり休憩したり惰眠を貪ったりすることに人生を費やしている間にも、アーティストたちはずっと作品制作に時間を注いできたのだ。つまりアーティストにとって自分の絵は自分の人生そのものである。絵を描くために何の努力もしていない人間が絵を描けないのは至極当然の事であるのに、自身の努力不足を認められず、努力もせず、それでも栄光は欲しい、だから努力をした人間から成果だけ奪えば自分も栄光が掴めるはずだ、などちゃんちゃらおかしなことである。政府が推し進めている生成 AI 事業の政策によって我々アーティストが受けたのは決して恩恵ではなく、殺人予告や名誉棄損など多大なる被害のみだ。それでいて政府は我々アーティストを苦しめるだけ苦しめておいて、アーティストたちが今までに作り上げた恩恵だけは掠め取ろうとクールジャパン戦略など訳の分からない事をほざいている。そのようなことがまかり通るはずがない。しかし、これほどまでに矛盾した非人道的でおかしな状況にも関わらず、生成 AI 推進派は「絵師の感情論」などと言って問題に向き合おうとしない。では、児童ポルノ問題に対してはどう言及するつもりなのだろうか。５．各論点について（１）学習・開発段階現在政府が推進している生成 AI のデータセットには大量の児童ポルノが含まれている。この事実はある程度生成 AI の情報を追っている者からすれば周知の事実だが、前回のパブリックコメントではデータセット内に児童ポルノが含まれている点に言及している箇所だけ綺麗に削り取られているという SNS での投稿があった。つまり政府も、己が推進している生成 AI 事業が大量の児童ポルノで成り立っている事実を知った上であえて黙認し、その事実をもみ消していることになる。言うまでもないがこれは「絵師の感情論」でもなんでもなく、立派な犯罪である。日本でも近年児童への性加害が問題視されているが、海外ではそんなものは比にならないほどに厳しく規制されている。そのような犯罪の事実を政府がもみ消しておいて、海外向けにクールジャパン戦略などを進めて成功すると本気で政府が思っているのなら、それは大きな誤りであると言わざるを得ない。,0.02672258423217233
7,1001,1005,Cluster #1,Cluster #5,0.030399808168787068
8,701,766,私は現役で漫画家、イラストレーターをしております。十数年この仕事で生きてきました。生成 AI で絵柄盗まれ簡単に出力できるようになり絵を好きでもない人がお金稼ぎのために利用しています。お金を稼ぐのはいけないことではありません。ですが仕事として私達本業はトレース問題や使用禁止の素材に考慮したり現実に存在する機械や生き物、建物や人間この世界に存在するものを参考にないものを生み出したりあるものを正しく描いてきましたが絵を好きでもない方が仕様する際この一切を考慮せず絵をただただ消費します。また、AI を使用したことを隠す人も多くその結果AI を利用したイラストを企業が知らずに使用し著作権侵害となり取り下げが必要になるなど被害が出るため AI で人のものを盗んで楽した結果余計面倒が増えます。だって出力する人は絵のことを何も知らないから。誰かの著作物がそのまま出力されても見抜く目を持ちません。私は幼稚園の頃イラストを描いて周りの人が喜んでくれたことをきっかけにこの仕事につきました。イラストは私の生き様です。ですが今は誰かのイラストを見るのも AI なのか疑ってしまうし自分の絵も AI と疑われてしまわないか余計な心配ばかりで描くのも見るのも億劫です。政府がクールジャパンなどで盛り上げに使っている作品やクリエイターいますが今後そのような素晴らしい作品やクリエイターが生まれてくる可能性を殺すことになりませんか？クリエイターを守る選択をしてください。著作権は絵柄にないと言いますが、だからといって明らかに無断でデータに利用されてそれを使った AI がはびこるのはおかしいです。絵柄になくても絵にはあるのに ごちゃまぜにしてキメラにしてしまえば許されるなんておかしい。そんなのゲロと一緒です。,6 最後に私は現役で漫画家、イラストレーターをしております。十数年この仕事で生きてきました。生成 AI で絵柄盗まれ簡単に出力できるようになり絵を好きでもない人がお金稼ぎのために利用しています。お金を稼ぐのはいけないことではありません。ですが仕事として私達本業はトレース問題や使用禁止の素材に考慮したり現実に存在する機械や生き物、建物や人間この世界に存在するものを参考にないものを生み出したりあるものを正しく描いてきましたが絵を好きでもない方が仕様する際この一切を考慮せず絵をただただ消費します。また、AI を使用したことを隠す人も多くその結果AI を利用したイラストを企業が知らずに使用し著作権侵害となり取り下げが必要になるなど被害が出るため AI で人のものを盗んで楽した結果余計面倒が増えます。だって出力する人は絵のことを何も知らないから。誰かの著作物がそのまま出力されても見抜く目を持ちません。私は幼稚園の頃イラストを描いて周りの人が喜んでくれたことをきっかけにこの仕事につきました。イラストは私の生き様です。ですが今は誰かのイラストを見るのも AI なのか疑ってしまうし自分の絵も AI と疑われてしまわないか余計な心配ばかりで描くのも見るのも億劫です。政府がクールジャパンなどで盛り上げに使っている作品やクリエイターいますが今後そのような素晴らしい作品やクリエイターが生まれてくる可能性を殺すことになりませんか？クリエイターを守る選択をしてください。著作権は絵柄にないと言いますが、だからといって明らかに無断でデータに利用されてそれを使った AI がはびこるのはおかしいです。著作権は現行絵柄になくても絵にはあるのに ごちゃまぜにしてキメラにしてしまえば許されるなんておかしい。そんなのゲロと一緒です,0.041553668428384594
9,145,806,生成 AI のネットに上がっている画像全てを学習元としてイラストなどを生成するシステムは十分著作権の侵害にあたるかと思いますし、特定の誰かの絵を読み込ませてその画風でイラスト生成をする事例が沢山上がっています。やられた方はもちろん不愉快ですし心的金銭的被害を被る事になります。また生成 AI の是非はともかくとして、悪用する人間が多すぎる為、生成 AI を推進していく行為には反対です。あまり生成 AI に明るくない人たちが著作権も何も考えずフランクに使ってしまえる現状はとても健全とは言えませんし、脅威でしかありません。また生成 AI に肯定的なのが既に有名な作家であったり昔名を馳せた絵描きなどある程度の年齢層の方に多いように見受けられます、生成 AI に対する不勉強もあるとは思いますが、彼らは良いかもしれませんが若いまだこれからの創作者達の芽を摘む原因に生成 AIはなり得ると考えます。あのようにプロンプトを書き込み簡単に複雑な絵を出力出来る、安易に著作権侵害をする者がいる現状を見て心を折る人たちは現在でもいる状況です。海外からの信頼も無くす行為だと思われます。生成 AI を容認している国だと思われれば、その国の作家たちも著作権に関して大変無頓着であり、仕事の依頼にも生成 AI を使われかねない、使われている可能性を考えられ海外からの仕事も激減する可能性も大いにあるかと思います。クリエイターを大事にしている国であればあるほど、生成 AI を容認する国を警戒するでしょう、そのような事になっては日本のクリエイターの活躍の場が狭まり、不名誉なレッテルを貼られ、やはり筆を折らざるを得ない状況に追い込まれてしまいます。それは日本の経済的な損失でもあると考えます。が AI を上手に使っていくなどと生成 AI を前向きに捉え推進していく姿勢を拝見しましたが、やはりお年を召された方ほどそのような傾向にあるかと見受けられます、若い世代、現在現役の作家、目指す人それを支える人達の意見にきちんと耳を傾けて頂きたい限りです。日本のクリエイター達の信用を落とし、悪用する者たちが少しでも減って行くよう生成 AIの規制をいち早くお願いしたい所存です。,AI 生成などは著作権法違反に当たると私は思います例として画像生成の AI だと、元にされた画像などには著作権があるのは当然ですがそれを貶めるようなことをしているような使い方をしている人や、学習禁止と絵描き様側が言われているのに AI に取り込んで使ってたりする人も居ます。絵を描かれたりされている方への侮辱であり大変失礼にあたる行為です。絵描きの方々のことを考えても AI 生成物を一般公開する行為などは著作権法違反になると思います,0.04956212089300649
10,226,1007,既存の作品を無断で使用したデータでデータ元と競合する生成 AI 開発するのは不当な権利の侵害行為に該当する,Cluster #7,0.054607519434885954
